Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,mfpn,height,mouser part number,mouser price/stock,manufacturer_name,manufacturer_part_number
1,,Battery_Cell-device,BT1,Battery_Cell-device 3V,BatteryHolder_Keystone_2998_1x6.8mm,1,,5c70984412875079b91f87ec,,,,,,
2,,C-Device-ISM02A-rescue,C47,1p8,C_0603_1608Metric,1,,5dad52a4128750448eca18e8,"C0G 0,1pF 50V",,,,,
3,,C-Device-ISM02A-rescue,C55,2p2,C_0603_1608Metric,1,,5c70984812875079b91f8bdd,"C0G 0,1pF 50V",,,,,
4,,C-Device-ISM02A-rescue,C49,2p4,C_0603_1608Metric,1,,5dad53d8128750448eca1906,"C0G 0,1pF 50V",,,,,
5,,C-Device-ISM02A-rescue,C52C58C59,3p3,C_0603_1608Metric,3,,5cd09016128750448e45434f,"C0G 0,1pF 50V",,,,,
6,,C-Device-ISM02A-rescue,C53,5p6,C_0603_1608Metric,1,,5dad5450128750448eca1919,"C0G 0,25pF 50V",,,,,
7,,C-device,C3C4,15pF,C_0805_2012Metric,2,,5c70984712875079b91f8b32,,,,,,
8,,C-Device-ISM02A-rescue,C54C57,39pF,C_0603_1608Metric,2,,5dad549f128750448eca1926,C0G 5% 50V,,,,,
9,,C-Device-ISM02A-rescue,C48,47pF,C_0805_2012Metric,1,,5dad5314128750448eca18f7,C0G 5% 50V,,,,,
10,,C-device,C21,1nF,C_0805_2012Metric,1,,5c70984712875079b91f8b45,,,,,,
11,Unpolarized capacitor,C,C26C56,1nF,C_0805_2012Metric,2,~,5c70984812875079b91f8bec,,,,,,
12,,C-Device-ISM02A-rescue,C46,47nF,C_0805_2012Metric,1,,5dad51cf128750448eca18d8,X7R 1% 16V,,,,,
13,,C-device,C1C2C5C6C9C10C17C25C32C37C38,100nF,C_0805_2012Metric,11,,5c70984712875079b91f8b4c,,,,,,
14,Unpolarized capacitor,C,C14C15C16C18C19C22C24,100nF,C_0805_2012Metric,7,~,5c70984712875079b91f8b4c,,,,,,
