Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BT1","Battery_Cell-device 3V","BatteryHolder_Keystone_2998_1x6.8mm",40.3860,26.9250,90.0000,bottom
"C1","100nF","C_0805_2012Metric",-7.3025,52.9970,0.0000,bottom
"C2","100nF","C_0805_2012Metric",2.1100,47.2185,90.0000,bottom
"C3","15pF","C_0805_2012Metric",6.6185,43.8530,180.0000,bottom
"C4","15pF","C_0805_2012Metric",3.4435,39.7890,180.0000,bottom
"C5","100nF","C_0805_2012Metric",-27.9400,48.3235,90.0000,bottom
"C6","100nF","C_0805_2012Metric",-8.1135,34.9630,180.0000,bottom
"C7","10uF","C_0805_2012Metric",-18.5420,44.0435,-90.0000,bottom
"C8","4u7","C_0805_2012Metric",4.9675,46.6090,0.0000,bottom
"C9","100nF","C_0805_2012Metric",-16.5100,46.0755,90.0000,bottom
"C10","100nF","C_0805_2012Metric",-15.4160,42.5195,-90.0000,bottom
"C11","22uF","C_0805_2012Metric",26.0350,17.1450,180.0000,bottom
"C12","47uF","C_0805_2012Metric",30.4800,22.7330,180.0000,bottom
"C13","47uF","C_0805_2012Metric",29.2100,32.5120,90.0000,bottom
"C14","100nF","C_0805_2012Metric",-4.8260,22.5425,-90.0000,bottom
"C15","100nF","C_0805_2012Metric",-0.1905,29.3370,180.0000,bottom
"C16","100nF","C_0805_2012Metric",-14.9860,25.7810,-90.0000,bottom
"C17","100nF","C_0805_2012Metric",9.7460,60.1980,0.0000,bottom
"C18","100nF","C_0805_2012Metric",4.8260,28.5115,90.0000,bottom
"C19","100nF","C_0805_2012Metric",2.5400,30.5435,90.0000,bottom
"C20","1uF","C_0805_2012Metric",-12.7000,60.0075,90.0000,bottom
"C21","1nF","C_0805_2012Metric",-11.8745,62.6110,180.0000,bottom
"C22","100nF","C_0805_2012Metric",-17.5260,27.7495,-90.0000,bottom
"C23","10uF","C_0805_2012Metric",-31.7500,34.4805,-90.0000,bottom
"C24","100nF","C_0805_2012Metric",18.0340,31.3690,0.0000,bottom
"C25","100nF","C_0805_2012Metric",-29.7180,34.4805,-90.0000,bottom
"C26","1nF","C_0805_2012Metric",13.0175,46.1010,180.0000,bottom
"C27","1uF","C_0805_2012Metric",-24.5600,36.7030,90.0000,bottom
"C28","50F","CP_Radial_D18.0mm_P7.50mm",23.8760,61.0870,0.0000,top
"C29","47uF","C_0805_2012Metric",28.1940,49.0220,0.0000,bottom
"C31","1uF","C_0805_2012Metric",-18.2100,34.8615,-90.0000,bottom
"C32","100nF","C_0805_2012Metric",33.5280,55.5625,90.0000,bottom
"C33","22uF","C_0805_2012Metric",22.0980,26.4160,90.0000,bottom
"C34","47uF","C_0805_2012Metric",28.1940,53.4670,0.0000,bottom
"C37","100nF","C_0805_2012Metric",33.5280,26.4365,90.0000,bottom
"C38","100nF","C_0805_2012Metric",33.5280,29.8020,-90.0000,bottom
"C39","22uF","C_0805_2012Metric",28.1940,51.3080,0.0000,bottom
"C43","470nF","C_0805_2012Metric",-17.3990,57.2770,0.0000,bottom
"C44","1uF","C_0805_2012Metric",-19.8120,53.9115,-90.0000,bottom
"C45","100nF","C_0805_2012Metric",-26.7260,61.0550,90.0000,bottom
"C46","47nF","C_0805_2012Metric",-31.6260,61.7550,180.0000,bottom
"C47","1p8","C_0603_1608Metric",-31.1260,53.5550,180.0000,bottom
"C48","47pF","C_0805_2012Metric",-28.8260,61.0550,90.0000,bottom
"C49","2p4","C_0603_1608Metric",-31.1260,55.1550,0.0000,bottom
"C50","-","C_0603_1608Metric",-31.8260,59.9550,180.0000,bottom
"C51","-","C_0603_1608Metric",-34.7260,54.3550,-90.0000,bottom
"C52","3p3","C_0603_1608Metric",-31.8260,58.3550,0.0000,bottom
"C53","5p6","C_0603_1608Metric",-34.2260,58.3550,90.0000,bottom
"C54","39pF","C_0603_1608Metric",-35.8260,58.3550,-90.0000,bottom
"C55","2p2","C_0603_1608Metric",-39.0260,58.8550,90.0000,bottom
"C56","1nF","C_0805_2012Metric",-39.8260,53.2870,0.0000,bottom
"C57","39pF","C_0603_1608Metric",-43.0260,55.9550,0.0000,bottom
"C58","3p3","C_0603_1608Metric",-45.3260,55.2550,90.0000,bottom
"C59","3p3","C_0603_1608Metric",-53.5260,56.0550,0.0000,bottom
"D1","HLMP-K150+FIX-LED-313","LED_1206_mill",41.8880,57.7850,0.0000,bottom
"D2","M4","Diode-SMA_Standard",38.5760,35.1790,0.0000,bottom
"F1","1.2A","1812",36.5760,40.4310,90.0000,bottom
"FID1","Fiducial","Fiducial_1mm_Mask2mm",-43.9260,68.2550,0.0000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",37.9740,21.2550,0.0000,top
"H1","MountingHole_Pad","MountingHole_3mm",-50.5460,15.8750,0.0000,top
"H2","MountingHole_Pad","MountingHole_3mm",40.8940,15.8750,0.0000,top
"H3","MountingHole_Pad","MountingHole_3mm",40.8940,66.6750,0.0000,top
"H4","MountingHole_Pad","MountingHole_3mm",-50.5460,66.6750,0.0000,top
"IC1","CY15B108QN-40SXI","SOIC-8_3.9x4.9mm_Pitch1.27mm",11.5240,56.3880,180.0000,bottom
"IC2","FM3164-G","SOIC-14_3.9x8.7mm_P1.27mm",13.2080,26.4160,90.0000,bottom
"IC3","LTC4041EUFD#PBF","QFN-24-1EP_4x5mm_P0.5mm_EP2.65x3.65mm",20.0540,44.5380,180.0000,bottom
"J1","HEADER_2x01_PARALLEL","Straight_2x01",9.6520,50.9270,0.0000,top
"J2","HEADER_2x01","Straight_2x01",-24.3060,45.1230,0.0000,top
"J3","HEADER_2x03","Straight_2x03",11.9380,67.6910,90.0000,top
"J4","HEADER_2x03_PARALLEL","Straight_2x03",-10.4140,67.6910,90.0000,top
"J5","HEADER_2x03_PARALLEL","Straight_2x03",41.9100,51.9430,180.0000,top
"J6","MCC-SD (kouka z modulu)","MCC-SD",-41.6710,34.9250,-90.0000,top
"J7","Conn_01x06_Female","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",11.8010,14.8590,0.0000,top
"J8","Conn_01x07_Female","JST_GH_SM07B-GHS-TB_1x07-1MP_P1.25mm_Horizontal",0.7620,67.6910,180.0000,top
"J9","Conn_01x04_Female","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",0.6250,14.8590,0.0000,top
"J10","HEADER_2x05_PARALLEL","Straight_2x05",-11.1760,14.8590,-90.0000,top
"J11","HEADER_2x07_PARALLEL","Straight_2x07",-23.8760,67.6910,90.0000,top
"J12","HEADER_2x05_PARALLEL","Straight_2x05",-24.6380,14.8590,90.0000,top
"J13","HEADER_2x02_PARALLEL","Straight_2x02",-36.0680,67.6910,90.0000,top
"J23","MCX","MCX",-50.5460,56.0070,0.0000,top
"J24","HEADER_2x03_PARALLEL","Straight_2x03",41.9100,41.2750,0.0000,top
"L1","10uH - LQH32CN100K23L","SMD-1210",-19.0500,40.7670,0.0000,bottom
"L2","XAL-6030-182 1.8 uH","XAL6030181MEC",20.0660,52.1970,0.0000,bottom
"L3","1uH - DFE252012P-1R0M=P2","L_1008_2520Metric",33.5280,17.9230,90.0000,bottom
"L4","1uH - DFE252012P-1R0M=P2","L_1008_2520Metric",29.7180,27.5750,90.0000,bottom
"L5","15uH","L_0805_2012Metric",-20.0660,57.4040,-90.0000,bottom
"L6","15nH","L_0603_1608Metric",-28.6260,54.4550,90.0000,bottom
"L7","0R","L_0603_1608Metric",-28.6790,56.7690,180.0000,bottom
"L8","47nH","L_0603_1608Metric",-28.6790,58.2550,180.0000,bottom
"L9","2n4","L_0603_1608Metric",-31.8260,56.7550,180.0000,bottom
"L10","4n7","L_0603_1608Metric",-37.4260,58.3550,-90.0000,bottom
"L11","9n1","L_0603_1608Metric",-47.6260,55.9550,180.0000,bottom
"Q1","DMP2045UQ-7","SOT-23",-34.9735,35.4330,0.0000,bottom
"Q2","DMTH3002LPS","D_POWERDI5060-8_6.0x5.1mm_P1.27mm",30.3740,37.9730,180.0000,bottom
"Q3","DMTH3002LPS","D_POWERDI5060-8_6.0x5.1mm_P1.27mm",30.3530,44.0690,180.0000,bottom
"R1","-","R_0805_2012Metric",2.6180,36.9315,-90.0000,bottom
"R2","4k7","R_0805_2012Metric",-27.9400,41.7830,-90.0000,bottom
"R3","10k","R_0805_2012Metric",4.9675,48.4250,0.0000,bottom
