Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BT1","Battery_Cell-device 3V","BatteryHolder_Keystone_2998_1x6.8mm",40.3860,26.9250,90.0000,bottom
"C1","100nF","SMD-0805",-7.3025,52.9970,0.0000,bottom
"C2","100nF","SMD-0805",2.1100,47.2185,90.0000,bottom
"C3","15pF","SMD-0805",6.6185,43.8530,180.0000,bottom
"C4","15pF","SMD-0805",3.4435,39.7890,180.0000,bottom
"C5","100nF","SMD-0805",-27.9400,48.3235,90.0000,bottom
"C6","100nF","SMD-0805",-8.1135,34.9630,180.0000,bottom
"C7","10uF","SMD-0805",-18.5420,44.0435,-90.0000,bottom
"C8","4u7","SMD-0805",4.9675,46.6090,0.0000,bottom
"C9","100nF","SMD-0805",-16.5100,46.0755,90.0000,bottom
"C10","100nF","SMD-0805",-15.4160,42.5195,-90.0000,bottom
"C14","100nF","SMD-0805",-4.8260,22.5425,-90.0000,bottom
"C15","100nF","SMD-0805",-0.1905,29.3370,180.0000,bottom
"C16","100nF","SMD-0805",-14.9860,25.7810,-90.0000,bottom
"C17","100nF","SMD-0805",9.7460,60.1980,0.0000,bottom
"C18","100nF","SMD-0805",4.8260,28.5115,90.0000,bottom
"C19","100nF","SMD-0805",2.5400,30.5435,90.0000,bottom
"C20","1uF","SMD-0805",-12.7000,60.0075,90.0000,bottom
"C21","1nF","SMD-0805",-11.8745,62.6110,180.0000,bottom
"C22","100nF","SMD-0805",-17.5260,27.7495,-90.0000,bottom
"C23","10uF","SMD-0805",-31.7500,34.4805,-90.0000,bottom
"C24","100nF","SMD-0805",18.0340,31.3690,0.0000,bottom
"C25","100nF","SMD-0805",-29.7180,34.4805,-90.0000,bottom
"C26","1nF","SMD-0805",13.0175,46.1010,180.0000,bottom
"C27","1uF","SMD-0805",-24.5600,36.7030,90.0000,bottom
"C29","100uF","TantalC_SizeC_Reflow",29.7332,50.6730,0.0000,bottom
"C30","EMI_Filter_C","FIR_0805",29.6380,54.4830,0.0000,bottom
"C31","1uF","SMD-0805",-18.2100,34.8615,-90.0000,bottom
"C32","100nF","SMD-0805",33.5280,55.5625,90.0000,bottom
"C33","47uF","TantalC_SizeB_Reflow",28.4734,23.4520,180.0000,bottom
"C34","47uF","TantalC_SizeB_Reflow",22.8600,30.2846,-90.0000,bottom
"C35","EMI_Filter_C","FIR_0805",33.5280,22.5160,90.0000,bottom
"C36","EMI_Filter_C","FIR_0805",29.2900,31.8340,0.0000,bottom
"C37","100nF","SMD-0805",33.5280,26.4365,90.0000,bottom
"C38","100nF","SMD-0805",33.5280,29.8020,-90.0000,bottom
"C39","22uF","TantalC_SizeB_Reflow",23.3680,24.1886,-90.0000,bottom
"C40","22uF","TantalC_SizeB_Reflow",25.6286,17.1020,180.0000,bottom
"C41","-","SMD-0805",-26.1620,63.3730,180.0000,bottom
"C42","-","SMD-0805",-21.5900,60.8965,90.0000,bottom
"C43","470nF","SMD-0805",-17.9705,57.2770,0.0000,bottom
"C44","1uF","SMD-0805",-19.8120,53.9115,-90.0000,bottom
"C45","100nF","SMD-0805",-27.4320,60.5155,90.0000,bottom
"C46","47nF","SMD-0805",-31.4960,61.0870,90.0000,bottom
"C47","1p8","SMD-0805",-34.3535,51.2445,180.0000,bottom
"C48","47pF","SMD-0805",-29.4640,61.1505,90.0000,bottom
"C49","2p4","SMD-0805",-33.2740,53.9750,-90.0000,bottom
