Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C28","50F","C_Radial_D16_L25_P7.5",23.8760,61.0870,0.0000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",-43.9260,68.2550,0.0000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",37.9740,21.2550,0.0000,top
"H1","MountingHole_Pad","MountingHole_3mm",-50.5460,15.8750,0.0000,top
"H2","MountingHole_Pad","MountingHole_3mm",40.8940,15.8750,0.0000,top
"H3","MountingHole_Pad","MountingHole_3mm",40.8940,66.6750,0.0000,top
"H4","MountingHole_Pad","MountingHole_3mm",-50.5460,66.6750,0.0000,top
"J1","HEADER_2x01_PARALLEL","Straight_2x01",9.6520,50.9270,0.0000,top
"J2","HEADER_2x01","Straight_2x01",-24.3060,45.1230,0.0000,top
"J3","HEADER_2x03","Straight_2x03",11.9380,67.6910,90.0000,top
"J4","HEADER_2x03_PARALLEL","Straight_2x03",-10.4140,67.6910,90.0000,top
"J5","HEADER_2x03_PARALLEL","Straight_2x03",41.9100,51.9430,180.0000,top
"J6","MCC-SD (kouka z modulu)","MCC-SD",-41.6710,34.9250,-90.0000,top
"J7","Conn_01x06_Female","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",11.8010,14.8590,0.0000,top
"J8","Conn_01x07_Female","JST_GH_SM07B-GHS-TB_1x07-1MP_P1.25mm_Horizontal",0.7620,67.6910,180.0000,top
"J9","Conn_01x04_Female","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",0.6250,14.8590,0.0000,top
"J10","HEADER_2x05_PARALLEL","Straight_2x05",-11.1760,14.8590,-90.0000,top
"J11","HEADER_2x07_PARALLEL","Straight_2x07",-23.8760,67.6910,90.0000,top
"J12","HEADER_2x05_PARALLEL","Straight_2x05",-24.6380,14.8590,90.0000,top
"J13","HEADER_2x02_PARALLEL","Straight_2x02",-36.0680,67.6910,90.0000,top
"J19","Conn_01x03_Male","Straight_1x03",31.7500,13.5890,90.0000,top
"J20","Conn_01x03_Male","Straight_1x03",23.3680,13.5890,90.0000,top
"J23","MCX","MCX",-50.5460,56.0070,0.0000,top
"J24","HEADER_2x03_PARALLEL","Straight_2x03",41.9100,41.2750,0.0000,top
